(250, 81)
(247, 81)
(244, 81)
(240, 81)
(237, 81)
(234, 81)
(231, 81)
(227, 81)
(224, 81)
(221, 81)
(218, 81)
(207, 86)
(205, 91)
(204, 96)
(203, 102)
(201, 107)
(200, 112)
(199, 117)
(197, 122)
(196, 128)
(195, 133)
(194, 138)
(192, 143)
(191, 148)
(190, 154)
(188, 159)
(187, 164)
(186, 169)
(184, 174)
(183, 180)
(182, 185)
(180, 190)
(179, 195)
(178, 200)
(177, 206)
(175, 211)
(174, 216)
(173, 221)
(171, 227)
(175, 237)
(182, 237)
(188, 237)
(195, 237)
(201, 237)
(208, 237)
(214, 237)
(221, 237)
(227, 237)
(234, 237)
(240, 237)
(247, 237)
(253, 237)
(260, 237)
(266, 237)
(273, 237)
(279, 237)
(286, 237)
(292, 237)
(299, 237)
(305, 237)
(312, 237)
(319, 237)
(325, 237)
(330, 228)
(328, 223)
(327, 217)
(326, 211)
(324, 206)
(323, 200)
(322, 194)
(320, 189)
(319, 183)
(318, 177)
(317, 172)
(315, 166)
(314, 160)
(313, 155)
(311, 149)
(310, 143)
(309, 138)
(307, 132)
(306, 126)
(305, 121)
(304, 115)
(302, 109)
(301, 104)
(300, 98)
(298, 92)
(297, 87)
(286, 81)
(283, 81)
(279, 81)
(276, 81)
(273, 81)
(270, 81)
(266, 81)
(263, 81)
(260, 81)
(257, 81)
(253, 81)
